state,city,min_lat,max_lat,min_long,max_long
ID,LAPWAI,42.082222,48.894012,-116.9914,-111.61472
ID,LEWISTON,42.082222,48.894012,-116.9914,-111.61472
ID,MCCALL,42.082222,48.894012,-116.9914,-111.61472
ID,JEROME,42.082222,48.894012,-116.9914,-111.61472
ID,MOSCOW,42.082222,48.894012,-116.9914,-111.61472
ID,NAMPA,42.082222,48.894012,-116.9914,-111.61472
ID,COEUR D'ALENE,42.082222,48.894012,-116.9914,-111.61472
ID,PAUL,42.082222,48.894012,-116.9914,-111.61472
ID,PINEHURST,42.082222,48.894012,-116.9914,-111.61472
ID,PLUMMER,42.082222,48.894012,-116.9914,-111.61472
ID,POCATELLO,42.082222,48.894012,-116.9914,-111.61472
ID,POTLATCH,42.082222,48.894012,-116.9914,-111.61472
ID,PRESTON,42.082222,48.894012,-116.9914,-111.61472
ID,SALMON,42.082222,48.894012,-116.9914,-111.61472
ID,SANDPOINT,42.082222,48.894012,-116.9914,-111.61472
ID,ARBON,42.082222,48.894012,-116.9914,-111.61472
ID,SODA SPRINGS,42.082222,48.894012,-116.9914,-111.61472
ID,ST MARIES,42.082222,48.894012,-116.9914,-111.61472
ID,WEISER,42.082222,48.894012,-116.9914,-111.61472
IL,ALSIP,38.0889,42.26700200000001,-90.5172,-87.55739
IL,CHAMPAIGN,38.0889,42.26700200000001,-90.5172,-87.55739
IL,CHICAGO,38.0889,42.26700200000001,-90.5172,-87.55739
IL,CICERO,38.0889,42.26700200000001,-90.5172,-87.55739
IL,DES PLAINES,38.0889,42.26700200000001,-90.5172,-87.55739
IL,EAST ST LOUIS,38.0889,42.26700200000001,-90.5172,-87.55739
IL,GRANITE CITY,38.0889,42.26700200000001,-90.5172,-87.55739
IL,SPARTA,38.0889,42.26700200000001,-90.5172,-87.55739
IL,JERSEYVILLE,38.0889,42.26700200000001,-90.5172,-87.55739
IL,JOLIET,38.0889,42.26700200000001,-90.5172,-87.55739
IL,LANSING,38.0889,42.26700200000001,-90.5172,-87.55739
IL,MCLEANSBORO,38.0889,42.26700200000001,-90.5172,-87.55739
IL,NORTHBROOK,38.0889,42.26700200000001,-90.5172,-87.55739
IL,PEORIA,38.0889,42.26700200000001,-90.5172,-87.55739
IL,ROCKFORD,38.0889,42.26700200000001,-90.5172,-87.55739
IL,MOLINE,38.0889,42.26700200000001,-90.5172,-87.55739
IL,SPRINGFIELD,38.0889,42.26700200000001,-90.5172,-87.55739
IN,BLOOMINGTON,38.288193,41.6967,-87.49504,-85.101814
IN,ELKHART,38.288193,41.6967,-87.49504,-85.101814
IN,FORT WAYNE,38.288193,41.6967,-87.49504,-85.101814
IN,HAMMOND,38.288193,41.6967,-87.49504,-85.101814
IN,INDIANAPOLIS,38.288193,41.6967,-87.49504,-85.101814
IN,JEFFERSONVILLE,38.288193,41.6967,-87.49504,-85.101814
IN,LAFAYETTE,38.288193,41.6967,-87.49504,-85.101814
IN,OGDEN DUNES,38.288193,41.6967,-87.49504,-85.101814
IN,SOUTH BEND,38.288193,41.6967,-87.49504,-85.101814
IN,TERRE HAUTE,38.288193,41.6967,-87.49504,-85.101814
KS,CHANUTE,37.4769,39.1175,-97.3664,-94.6356
KS,OLATHE,37.4769,39.1175,-97.3664,-94.6356
KS,TOPEKA,37.4769,39.1175,-97.3664,-94.6356
KS,PECK,37.4769,39.1175,-97.3664,-94.6356
KS,WICHITA,37.4769,39.1175,-97.3664,-94.6356
KS,KANSAS CITY,37.4769,39.1175,-97.3664,-94.6356
KY,HENDERSON,37.0581,38.2317,-88.5725,-82.5353
KY,JEFFERSONTOWN,37.0581,38.2317,-88.5725,-82.5353
KY,ELIZABETHTOWN,37.0581,38.2317,-88.5725,-82.5353
KY,LOUISVILLE,37.0581,38.2317,-88.5725,-82.5353
KY,HAZARD,37.0581,38.2317,-88.5725,-82.5353
